Timeline,filters,Count
"2017-03-10 07:00",PhEDEx,"1,279"
"2017-03-10 07:00",LCGAdmin,347
"2017-03-10 07:00",LIGO,222
"2017-03-10 07:00",Others,0
"2017-03-10 08:00",CMSProd,"3,748"
"2017-03-10 08:00",CMSPool,"6,012"
"2017-03-10 08:00",PhEDEx,"1,512"
"2017-03-10 08:00",LCGAdmin,337
"2017-03-10 08:00",LIGO,174
"2017-03-10 08:00",Others,0
"2017-03-10 09:00",CMSProd,"3,880"
"2017-03-10 09:00",CMSPool,"6,917"
"2017-03-10 09:00",PhEDEx,"1,258"
"2017-03-10 09:00",LCGAdmin,325
"2017-03-10 09:00",LIGO,154
"2017-03-10 09:00",Others,0
"2017-03-10 10:00",CMSProd,"4,332"
"2017-03-10 10:00",CMSPool,"6,387"
"2017-03-10 10:00",PhEDEx,"1,121"
"2017-03-10 10:00",LCGAdmin,298
"2017-03-10 10:00",LIGO,124
"2017-03-10 10:00",Others,0
"2017-03-10 11:00",CMSProd,"6,460"
"2017-03-10 11:00",CMSPool,"4,395"
"2017-03-10 11:00",PhEDEx,"1,023"
"2017-03-10 11:00",LCGAdmin,318
"2017-03-10 11:00",LIGO,34
"2017-03-10 11:00",Others,0
"2017-03-10 12:00",CMSProd,"4,756"
"2017-03-10 12:00",CMSPool,"5,066"
"2017-03-10 12:00",PhEDEx,"1,176"
"2017-03-10 12:00",LCGAdmin,299
"2017-03-10 12:00",LIGO,8
"2017-03-10 12:00",Others,0
"2017-03-10 13:00",CMSProd,"3,959"
"2017-03-10 13:00",CMSPool,"5,589"
"2017-03-10 13:00",PhEDEx,"1,017"
"2017-03-10 13:00",LCGAdmin,335
"2017-03-10 13:00",LIGO,26
"2017-03-10 13:00",Others,0
"2017-03-10 14:00",CMSProd,"4,524"
"2017-03-10 14:00",CMSPool,"4,676"
"2017-03-10 14:00",PhEDEx,863
"2017-03-10 14:00",LCGAdmin,329
"2017-03-10 14:00",LIGO,12
"2017-03-10 14:00",Others,0
"2017-03-10 15:00",CMSProd,"2,115"
"2017-03-10 15:00",CMSPool,"3,967"
"2017-03-10 15:00",PhEDEx,"1,191"
"2017-03-10 15:00",LCGAdmin,327
"2017-03-10 15:00",LIGO,8
"2017-03-10 15:00",Others,0
"2017-03-10 16:00",CMSProd,"1,770"
"2017-03-10 16:00",CMSPool,"3,799"
"2017-03-10 16:00",PhEDEx,930
"2017-03-10 16:00",LCGAdmin,312
"2017-03-10 16:00",LIGO,0
"2017-03-10 16:00",Others,0
"2017-03-10 17:00",CMSProd,"1,619"
"2017-03-10 17:00",CMSPool,"3,899"
"2017-03-10 17:00",PhEDEx,202
"2017-03-10 17:00",LCGAdmin,326
"2017-03-10 17:00",LIGO,8
"2017-03-10 17:00",Others,0
"2017-03-10 18:00",CMSProd,"1,308"
"2017-03-10 18:00",CMSPool,"1,607"
"2017-03-10 18:00",PhEDEx,483
"2017-03-10 18:00",LCGAdmin,309
"2017-03-10 18:00",LIGO,8
"2017-03-10 18:00",Others,0
"2017-03-10 19:00",CMSProd,"1,509"
"2017-03-10 19:00",CMSPool,"1,376"
"2017-03-10 19:00",PhEDEx,238
"2017-03-10 19:00",LCGAdmin,316
"2017-03-10 19:00",LIGO,8
"2017-03-10 19:00",Others,0
"2017-03-10 20:00",CMSProd,"1,686"
"2017-03-10 20:00",CMSPool,"1,745"
"2017-03-10 20:00",PhEDEx,143
"2017-03-10 20:00",LCGAdmin,278
"2017-03-10 20:00",LIGO,8
"2017-03-10 20:00",Others,0
"2017-03-10 21:00",CMSProd,"3,000"
"2017-03-10 21:00",CMSPool,"2,514"
"2017-03-10 21:00",PhEDEx,263
"2017-03-10 21:00",LCGAdmin,320
"2017-03-10 21:00",LIGO,8
"2017-03-10 21:00",Others,0
"2017-03-10 22:00",CMSProd,"1,552"
"2017-03-10 22:00",CMSPool,"2,599"
"2017-03-10 22:00",PhEDEx,281
"2017-03-10 22:00",LCGAdmin,288
"2017-03-10 22:00",LIGO,8
"2017-03-10 22:00",Others,0
"2017-03-10 23:00",CMSProd,"2,115"
"2017-03-10 23:00",CMSPool,"3,276"
"2017-03-10 23:00",PhEDEx,297
"2017-03-10 23:00",LCGAdmin,315
"2017-03-10 23:00",LIGO,4
"2017-03-10 23:00",Others,0
"2017-03-11 00:00",CMSProd,"2,728"
"2017-03-11 00:00",CMSPool,"4,606"
"2017-03-11 00:00",PhEDEx,298
"2017-03-11 00:00",LCGAdmin,294
"2017-03-11 00:00",LIGO,4
"2017-03-11 00:00",Others,0
"2017-03-11 01:00",CMSProd,"3,545"
"2017-03-11 01:00",CMSPool,"3,981"
"2017-03-11 01:00",PhEDEx,747
"2017-03-11 01:00",LCGAdmin,314
"2017-03-11 01:00",LIGO,8
"2017-03-11 01:00",Others,0
"2017-03-11 02:00",CMSProd,"3,911"
"2017-03-11 02:00",CMSPool,"3,433"
"2017-03-11 02:00",PhEDEx,311
"2017-03-11 02:00",LCGAdmin,309
"2017-03-11 02:00",LIGO,8
"2017-03-11 02:00",Others,0
"2017-03-11 03:00",CMSProd,"4,578"
"2017-03-11 03:00",CMSPool,"2,782"
"2017-03-11 03:00",PhEDEx,239
"2017-03-11 03:00",LCGAdmin,306
"2017-03-11 03:00",LIGO,8
"2017-03-11 03:00",Others,0
"2017-03-11 04:00",CMSProd,"4,669"
"2017-03-11 04:00",CMSPool,"2,050"
"2017-03-11 04:00",PhEDEx,296
"2017-03-11 04:00",LCGAdmin,318
"2017-03-11 04:00",LIGO,8
"2017-03-11 04:00",Others,0
"2017-03-11 05:00",CMSProd,"3,858"
"2017-03-11 05:00",CMSPool,"1,523"
"2017-03-11 05:00",PhEDEx,130
"2017-03-11 05:00",LCGAdmin,306
"2017-03-11 05:00",LIGO,8
"2017-03-11 05:00",Others,0
"2017-03-11 06:00",CMSProd,"3,621"
"2017-03-11 06:00",CMSPool,"1,064"
"2017-03-11 06:00",PhEDEx,232
"2017-03-11 06:00",LCGAdmin,311
"2017-03-11 06:00",LIGO,8
"2017-03-11 06:00",Others,0
"2017-03-11 07:00",CMSProd,"3,945"
"2017-03-11 07:00",CMSPool,"3,550"
"2017-03-11 07:00",PhEDEx,471
"2017-03-11 07:00",LCGAdmin,321
"2017-03-11 07:00",LIGO,4
"2017-03-11 07:00",Others,0
"2017-03-11 08:00",CMSProd,"2,895"
"2017-03-11 08:00",CMSPool,"3,712"
"2017-03-11 08:00",PhEDEx,462
"2017-03-11 08:00",LCGAdmin,347
"2017-03-11 08:00",LIGO,8
"2017-03-11 08:00",Others,0
"2017-03-11 09:00",CMSProd,"4,423"
"2017-03-11 09:00",CMSPool,"3,408"
"2017-03-11 09:00",PhEDEx,265
"2017-03-11 09:00",LCGAdmin,307
"2017-03-11 09:00",LIGO,4
"2017-03-11 09:00",Others,0
"2017-03-11 10:00",CMSProd,"3,847"
"2017-03-11 10:00",CMSPool,"2,599"
"2017-03-11 10:00",PhEDEx,297
"2017-03-11 10:00",LCGAdmin,316
"2017-03-11 10:00",LIGO,8
"2017-03-11 10:00",Others,0
"2017-03-11 11:00",CMSProd,"6,229"
"2017-03-11 11:00",CMSPool,"3,877"
"2017-03-11 11:00",PhEDEx,296
"2017-03-11 11:00",LCGAdmin,310
"2017-03-11 11:00",LIGO,194
"2017-03-11 11:00",Others,0
"2017-03-11 12:00",CMSProd,"3,813"
"2017-03-11 12:00",CMSPool,"5,423"
"2017-03-11 12:00",PhEDEx,417
"2017-03-11 12:00",LCGAdmin,323
"2017-03-11 12:00",LIGO,343
"2017-03-11 12:00",Others,0
"2017-03-11 13:00",CMSProd,"3,388"
"2017-03-11 13:00",CMSPool,"3,997"
"2017-03-11 13:00",PhEDEx,147
"2017-03-11 13:00",LCGAdmin,310
"2017-03-11 13:00",LIGO,121
"2017-03-11 13:00",Others,0
"2017-03-11 14:00",CMSProd,"3,763"
"2017-03-11 14:00",CMSPool,"3,718"
"2017-03-11 14:00",PhEDEx,496
"2017-03-11 14:00",LCGAdmin,301
"2017-03-11 14:00",LIGO,27
"2017-03-11 14:00",Others,0
"2017-03-11 15:00",CMSProd,"4,087"
"2017-03-11 15:00",CMSPool,"4,159"
"2017-03-11 15:00",PhEDEx,188
"2017-03-11 15:00",LCGAdmin,345
"2017-03-11 15:00",LIGO,8
"2017-03-11 15:00",Others,0
"2017-03-11 16:00",CMSProd,"4,489"
"2017-03-11 16:00",CMSPool,"3,368"
"2017-03-11 16:00",PhEDEx,189
"2017-03-11 16:00",LCGAdmin,332
"2017-03-11 16:00",LIGO,48
"2017-03-11 16:00",Others,0
"2017-03-11 17:00",CMSProd,"3,705"
"2017-03-11 17:00",CMSPool,"3,680"
"2017-03-11 17:00",PhEDEx,191
"2017-03-11 17:00",LCGAdmin,329
"2017-03-11 17:00",LIGO,102
"2017-03-11 17:00",Others,0
"2017-03-11 18:00",CMSProd,"3,437"
