Timeline,filters,Count
2017-03-10 10:00,CMSProd,4332
2017-03-10 10:00,CMSPool,6387
2017-03-10 10:00,PhEDEx,1121
2017-03-10 10:00,LCGAdmin,298
2017-03-10 10:00,LIGO,124
2017-03-10 10:00,Others,0
2017-03-10 11:00,CMSProd,6460
2017-03-10 11:00,CMSPool,4395
2017-03-10 11:00,PhEDEx,1023
2017-03-10 11:00,LCGAdmin,318
2017-03-10 11:00,LIGO,34
2017-03-10 11:00,Others,0
2017-03-10 12:00,CMSProd,4756
2017-03-10 12:00,CMSPool,5066
2017-03-10 12:00,PhEDEx,1176
2017-03-10 12:00,LCGAdmin,299
2017-03-10 12:00,LIGO,8
2017-03-10 12:00,Others,0
2017-03-10 13:00,CMSProd,3959
2017-03-10 13:00,CMSPool,5589
2017-03-10 13:00,PhEDEx,1017
2017-03-10 13:00,LCGAdmin,335
2017-03-10 13:00,LIGO,26
2017-03-10 13:00,Others,0
2017-03-10 14:00,CMSProd,4524
2017-03-10 14:00,CMSPool,4676
2017-03-10 14:00,PhEDEx,863
2017-03-10 14:00,LCGAdmin,329
2017-03-10 14:00,LIGO,12
2017-03-10 14:00,Others,0
2017-03-10 15:00,CMSProd,2115
2017-03-10 15:00,CMSPool,3967
2017-03-10 15:00,PhEDEx,1191
2017-03-10 15:00,LCGAdmin,327
2017-03-10 15:00,LIGO,8
2017-03-10 15:00,Others,0
2017-03-10 16:00,CMSProd,1770
2017-03-10 16:00,CMSPool,3799
2017-03-10 16:00,PhEDEx,930
2017-03-10 16:00,LCGAdmin,312
2017-03-10 16:00,LIGO,0
2017-03-10 16:00,Others,0
2017-03-10 17:00,CMSProd,1619
2017-03-10 17:00,CMSPool,3899
2017-03-10 17:00,PhEDEx,202
2017-03-10 17:00,LCGAdmin,326
2017-03-10 17:00,LIGO,8
2017-03-10 17:00,Others,0
2017-03-10 18:00,CMSProd,1308
2017-03-10 18:00,CMSPool,1607
2017-03-10 18:00,PhEDEx,483
2017-03-10 18:00,LCGAdmin,309
2017-03-10 18:00,LIGO,8
2017-03-10 18:00,Others,0
2017-03-10 19:00,CMSProd,1509
2017-03-10 19:00,CMSPool,1376
2017-03-10 19:00,PhEDEx,238
2017-03-10 19:00,LCGAdmin,316
2017-03-10 19:00,LIGO,8
2017-03-10 19:00,Others,0
2017-03-10 20:00,CMSProd,1686
2017-03-10 20:00,CMSPool,1745
2017-03-10 20:00,PhEDEx,143
